id,value
id_0,25.6695847571
id_1,65.2046273427
id_2,18.8710954331
id_3,27.4070335684
id_4,8.25169221399
id_5,31.7459271861
id_6,42.1250267184
id_7,16.9902630998
id_8,49.3865321371
id_9,32.2546393501
id_10,38.500430751
id_11,58.869529032
id_12,33.3826656974
id_13,40.1138472329
id_14,27.6144400061
id_15,14.6388082839
id_16,51.354575455
id_17,22.6989187688
id_18,17.666429662
id_19,18.7746015727
id_20,15.8978019811
id_21,30.8830907757
id_22,37.5649033491
id_23,8.16007068943
id_24,62.5893589045
id_25,46.1435267023
id_26,27.1684222394
id_27,7.50225992891
id_28,29.8494784094
id_29,36.7876196958
id_30,17.0504243869
id_31,10.9218680888
id_32,16.7977290461
id_33,6.7798976277
id_34,16.7809572262
id_35,40.6053485599
id_36,18.9038553478
id_37,27.1886305141
id_38,9.67037568638
id_39,58.4445301271
id_40,46.7423825798
id_41,18.7121245821
id_42,52.9200866956
id_43,19.0299079627
id_44,45.4071578508
id_45,50.3793752974
id_46,58.6944513617
id_47,41.4207113489
id_48,53.7965163111
id_49,38.0171347044
id_50,29.6784091981
id_51,24.7839379641
id_52,39.2685337504
id_53,24.6275966455
id_54,38.9146981147
id_55,42.4950734201
id_56,24.8300288087
id_57,21.9656122705
id_58,36.8185469717
id_59,31.2458555145
id_60,13.8837678133
id_61,20.5829112753
id_62,33.0593489689
id_63,55.4632604371
id_64,50.2194920322
id_65,26.8872698962
id_66,37.4842841803
id_67,52.0167374634
id_68,30.0448421435
id_69,36.8963043446
id_70,66.6958837196
id_71,53.9364192427
id_72,43.0187059267
id_73,11.19868342
id_74,12.9205995559
id_75,34.2853756584
id_76,63.4384735441
id_77,2.79138381999
id_78,42.6473289403
id_79,38.9109598651
id_80,7.8577776756
id_81,22.126465177
id_82,8.01818594466
id_83,33.6841212014
id_84,7.9823604514
id_85,6.21289568283
id_86,17.1349472086
id_87,11.5199815647
id_88,20.3623433881
id_89,27.4758859229
id_90,32.6525203105
id_91,11.5342148974
id_92,14.6146256091
id_93,6.75468250667
id_94,40.6189912501
id_95,13.7066669144
id_96,17.1601518944
id_97,9.30563816492
id_98,11.3538330158
id_99,5.28749337516
id_100,12.2433974096
id_101,19.7159847437
id_102,12.1033068827
id_103,8.73331191587
id_104,13.7348386717
id_105,37.47415591
id_106,26.4894586998
id_107,8.50838892843
id_108,17.5075718013
id_109,16.665928502
id_110,13.1867649787
id_111,17.0406573158
id_112,16.3510919922
id_113,28.8724942914
id_114,20.5743925715
id_115,16.1907831295
id_116,6.37189541518
id_117,44.7698563595
id_118,28.2719449178
id_119,0.287569285359
id_120,1.05971786136
id_121,11.022862793
id_122,14.656660575
id_123,13.3890852571
id_124,7.64947080568
id_125,26.0617132734
id_126,19.215950077
id_127,11.7165795315
id_128,18.3920433277
id_129,16.4825348371
id_130,3.42109193831
id_131,33.8767241985
id_132,15.169130379
id_133,25.9162843874
id_134,24.0731013869
id_135,22.0080153499
id_136,10.6743810935
id_137,19.8239908697
id_138,76.6303578024
id_139,60.3420983243
id_140,28.4364683689
id_141,16.9021647318
id_142,23.6308868173
id_143,7.90706556032
id_144,13.1047410434
id_145,10.2090585269
id_146,19.4787154341
id_147,8.3963657053
id_148,14.7184394595
id_149,15.5498729208
id_150,46.5789526931
id_151,22.3869847177
id_152,22.6822264798
id_153,13.0799951093
id_154,16.2016286997
id_155,23.8673332233
id_156,22.9969957901
id_157,35.5964655909
id_158,5.44058191429
id_159,23.9038224076
id_160,41.0812849415
id_161,20.0300961875
id_162,60.0107989613
id_163,17.5614605723
id_164,34.8066541821
id_165,25.0533545849
id_166,17.6352103108
id_167,1.69550100835
id_168,67.2889676748
id_169,14.8513059505
id_170,16.7539619037
id_171,74.3713687847
id_172,20.1241340291
id_173,1.44336269463
id_174,29.1828044416
id_175,1.45694316108
id_176,7.94523655237
id_177,24.3536854398
id_178,20.7974097275
id_179,23.9834584551
id_180,44.5529358621
id_181,28.8997593733
id_182,28.7085992819
id_183,12.4253411527
id_184,6.23728815168
id_185,41.4741268206
id_186,36.4325825972
id_187,34.5731861293
id_188,16.9122846782
id_189,20.4891249473
id_190,14.0615594945
id_191,14.946783405
id_192,32.3105910792
id_193,68.4842196768
id_194,26.9650043549
id_195,11.0578600425
id_196,63.746454089
id_197,15.3509168699
id_198,18.7326755631
id_199,20.386823442
id_200,136.585868753
id_201,25.2932389878
id_202,59.0497257601
id_203,7.27439441611
id_204,61.670704158
id_205,35.3327201325
id_206,15.3339176482
id_207,13.7916753471
id_208,64.738063698
id_209,14.3950510583
id_210,36.1917823855
id_211,71.614097408
id_212,20.2145041251
id_213,107.159850036
id_214,40.6971826954
id_215,77.790775137
id_216,94.872840005
id_217,75.3673710112
id_218,30.2030933739
id_219,19.7729104607
id_220,31.0076979869
id_221,53.3037790468
id_222,26.7160820307
id_223,38.1852810361
id_224,42.372481248
id_225,8.38793980724
id_226,2.28426354883
id_227,83.5624474539
id_228,29.2699320163
id_229,-0.398702510386
id_230,39.734632294
id_231,16.438271451
id_232,22.5149489982
id_233,6.61007936161
id_234,12.2859734556
id_235,22.1579591269
id_236,13.1659677048
id_237,1.55502594003
id_238,20.3492169891
id_239,9.82223902357
