id,value
id_0,25.4944917564
id_1,64.3178870522
id_2,18.3666779815
id_3,28.8194856326
id_4,9.47758461078
id_5,32.5501479558
id_6,40.7146027291
id_7,17.5718245895
id_8,49.7596142013
id_9,32.5188217964
id_10,39.4132277808
id_11,58.4139162391
id_12,34.3931600418
id_13,40.4641573531
id_14,27.8221866873
id_15,13.5574776125
id_16,50.8284983284
id_17,23.7839474009
id_18,17.7566157409
id_19,18.8567385256
id_20,14.8353087974
id_21,30.7806068514
id_22,38.4338623246
id_23,10.4149708358
id_24,62.1273304458
id_25,46.4548666335
id_26,29.1733474018
id_27,7.46010604295
id_28,29.5973727174
id_29,36.3009734695
id_30,16.9168209724
id_31,10.9940757582
id_32,16.5926127099
id_33,7.7018941307
id_34,15.9678815692
id_35,41.0571924204
id_36,19.3898492285
id_37,27.4732209353
id_38,9.54331620451
id_39,58.3118965658
id_40,46.8186270035
id_41,18.4817245033
id_42,53.3231372802
id_43,17.7076765174
id_44,45.3849081326
id_45,49.8079525099
id_46,57.0400559715
id_47,41.4843261253
id_48,55.3158854968
id_49,38.538213878
id_50,28.5926612731
id_51,23.9980371999
id_52,39.7541209206
id_53,23.3512174012
id_54,37.1181871655
id_55,40.545568203
id_56,23.634027456
id_57,21.3754000226
id_58,37.0994618501
id_59,31.3003761642
id_60,14.1101317844
id_61,20.7574978572
id_62,32.2370648331
id_63,54.7197878074
id_64,49.9367054919
id_65,25.5258826049
id_66,38.2410246439
id_67,50.7639382607
id_68,28.7534819792
id_69,36.8643728414
id_70,66.5302593972
id_71,55.8319461427
id_72,43.142293343
id_73,12.6793515711
id_74,13.7083226321
id_75,35.8808982997
id_76,61.8449470876
id_77,3.23582471399
id_78,42.4800378904
id_79,41.1665519737
id_80,8.63465274946
id_81,23.6566362266
id_82,7.23470445236
id_83,32.1251137601
id_84,9.72098059947
id_85,6.13477649972
id_86,16.6655605345
id_87,11.6540211019
id_88,19.7671720795
id_89,25.8719675529
id_90,34.816760686
id_91,12.887495421
id_92,13.6378299525
id_93,9.05478058151
id_94,38.3986711347
id_95,14.9738184329
id_96,17.1427397539
id_97,9.7943192311
id_98,10.9808875705
id_99,5.37671019724
id_100,11.3781815825
id_101,18.3988038933
id_102,11.64588523
id_103,8.61322132352
id_104,11.9071996381
id_105,36.9542010838
id_106,25.7171665903
id_107,8.67463129849
id_108,17.6246575188
id_109,15.4145104852
id_110,11.8432476014
id_111,16.181059832
id_112,17.0181787482
id_113,27.2397015331
id_114,19.8529657954
id_115,17.6701432474
id_116,5.68638130348
id_117,43.8541046036
id_118,26.9496941859
id_119,0.686663356976
id_120,0.204179951248
id_121,10.732237865
id_122,13.2735390578
id_123,12.7298413981
id_124,8.28457469382
id_125,24.5839402237
id_126,21.7902162509
id_127,10.5532186582
id_128,20.1540695011
id_129,15.9674559049
id_130,2.7419618035
id_131,33.1329066856
id_132,16.2821804064
id_133,21.7398998697
id_134,26.5357822275
id_135,23.7882410901
id_136,9.81484739123
id_137,21.6342315663
id_138,79.3440106725
id_139,60.7345147644
id_140,27.0118910382
id_141,18.7834541471
id_142,24.024656305
id_143,7.37057174398
id_144,12.7099987036
id_145,10.3510748276
id_146,17.4699680242
id_147,6.90069502216
id_148,12.5109330669
id_149,14.7672883255
id_150,46.7095367376
id_151,22.2536211572
id_152,22.0793854261
id_153,13.540159913
id_154,15.2583703249
id_155,23.1198961285
id_156,23.0439588238
id_157,37.6108197001
id_158,5.33166745561
id_159,23.0804280291
id_160,43.1169613139
id_161,18.8544069992
id_162,64.7643467688
id_163,16.4971729192
id_164,34.4662720064
id_165,23.8913637997
id_166,19.3112806697
id_167,2.22637015189
id_168,67.9661223746
id_169,15.4382210259
id_170,15.9002422987
id_171,74.0568118528
id_172,22.1458752723
id_173,1.15452717418
id_174,23.5863873736
id_175,2.33469133672
id_176,7.91275187255
id_177,20.7442627954
id_178,20.0328114739
id_179,25.1854577113
id_180,43.3393080543
id_181,32.192199222
id_182,27.9402562308
id_183,11.8845708248
id_184,6.48184400708
id_185,41.5680885221
id_186,35.8451696344
id_187,35.3516235919
id_188,16.4742140079
id_189,22.6481568017
id_190,13.1931136215
id_191,15.3890233704
id_192,30.8718292797
id_193,70.9706547374
id_194,28.3776251713
id_195,11.4291749206
id_196,63.6002176635
id_197,16.057915774
id_198,18.9321449538
id_199,20.0960222333
id_200,136.897532219
id_201,24.5558057842
id_202,59.4279339433
id_203,7.24315961551
id_204,60.4913659579
id_205,36.2353410492
id_206,14.934151979
id_207,13.4249652116
id_208,62.8450324533
id_209,14.817590675
id_210,39.3377071065
id_211,71.2265051294
id_212,18.0545537372
id_213,107.749846903
id_214,41.8489819289
id_215,76.5316652721
id_216,95.3536235864
id_217,75.4643439181
id_218,27.8584534381
id_219,20.0617197388
id_220,30.8856065815
id_221,50.95899499
id_222,27.4154964097
id_223,38.3142779787
id_224,42.1354609054
id_225,8.81908810889
id_226,3.35914763329
id_227,84.7426795732
id_228,29.8870853725
id_229,0.00239103652228
id_230,39.6521445435
id_231,16.7662048932
id_232,21.5918950553
id_233,7.54162967405
id_234,13.6579246103
id_235,24.0638322537
id_236,13.4733648473
id_237,3.05018554895
id_238,20.9100963951
id_239,10.9840963767
